,address,birthdate,blood_group,company,job,mail,name,phone,residence,sex,ssn,username,website
0,"ст. Таштагол, ул. Высоковольтная, д. 42, 944517",2000-03-13,0+,РАО «Кудряшова-Фадеева»,Портной,selivan27@mail.ru,Калинин Эмиль Августович,+7 923 409 7174,"с. Чита, ул. Марта 8, д. 70, 676877",M,826236196951,uvorontsova,"['https://ao.biz/', 'https://ao.biz/', 'http://www.ao.info/']"
1,"с. Павловская, ул. З.Космодемьянской, д. 73, 485919",1982-02-13,A-,"РАО «Гурьев, Маслова и Жуков»",Специалист по стрижке овец,shcherbakovsevastjan@rambler.ru,Виноградов Савва Харлампович,+7 (554) 433-4342,"с. Приморско-Ахтарск, ул. Набережная, д. 84, 446860",M,728059228500,samuil2001boleslav_1976,"['https://www.ao.org/', 'https://www.ip.net/', 'https://ao.com/', 'https://www.ip.info/']"
2,"ст. Нарьян-Мар, ул. Алтайская, д. 65, 175139",1978-07-04,A-,"РАО «Зиновьев, Исаков и Виноградова»",Дизайнер рекламы,ivanna_97@hotmail.com,Архипова Элеонора Ильинична,+7 (502) 930-0840,"ст. Пятигорск, ул. Рябиновая, д. 42, 305454",F,311399473013,potapovazoja,"['http://www.rao.edu/', 'http://ao.ru/', 'http://www.npo.ru/', 'https://poljakova.edu/']"
3,"ст. Тарко-Сале, ул. Дорожная, д. 33, 148905",1998-06-07,AB+,"ИП «Сергеева, Тарасова и Зиновьев»",Травматолог,borisshchukin@mail.ru,Быков Аникей Денисович,+7 (832) 027-4294,"к. Ессентуки, ул. Народная, д. 96, 534527",M,953763040632,glafira1974uljan_1994,['http://ao.com/']
4,"г. Арсеньев, ул. Транспортная, д. 48, 298029",1990-09-27,0+,АО «Максимов»,Шифровальщик,konstantinovvikenti@yandex.ru,Костин Авксентий Иосипович,+7 (651) 788-30-50,"с. Старая Русса, ул. Снежная, д. 04, 534776",M,819573668099,emeljan_22,['http://rao.edu/']
5,"клх Норильск, ул. Новостройка, д. 63, 807399",1991-07-25,0+,Рогов,Маляр,teterinatamara@yandex.ru,Князев Аверкий Жанович,+7 (878) 264-2977,"к. Ханты-Мансийск, ул. Угольная, д. 69, 940338",M,509973282187,vorobevrostislav,"['http://rao.info/', 'http://ao.com/', 'https://www.npo.edu/', 'http://www.rao.com/']"
6,"д. Волгоград, ул. Санаторная, д. 96, 976501",1981-10-29,0-,НПО «Степанов»,Химик-контролер,tit_39@rambler.ru,Тихонов Эдуард Аксёнович,+7 502 600 5704,"к. Абинск, ул. Путевая, д. 73, 594008",M,912785418241,mjasnikovazari,"['https://www.pestov.ru/', 'http://ao.edu/']"
7,"п. Талдом, ул. Высокая, д. 11, 060999",1995-04-15,0+,АО «Меркушева Зайцева»,Санитар,bazhenfedotov@gmail.com,Ковалев Эрнест Якубович,+7 635 175 7733,"к. Соболево, ул. Мостовая, д. 20, 394271",M,342671196887,sidorkomissarov,"['http://ao.ru/', 'https://www.rao.info/', 'https://npo.biz/']"
8,"ст. Воронеж, ул. Надежды, д. 18, 277327",1970-11-16,0-,НПО «Назаров-Медведева»,Логопед,borislav2018lavr_1980@yahoo.com,Куликова Зинаида Олеговна,+7 418 487 9469,"ст. Тимашевск, ул. Вокзальная, д. 76, 972594",F,841230072809,sitnikovalidija,"['https://rao.ru/', 'https://rao.org/']"
9,"г. Сальск, ул. 1 Мая, д. 81, 889593",1978-02-18,AB+,АО «Аксенов-Рожков»,Биолог,qabramova@yahoo.com,Соловьева Евпраксия Кузминична,+7 (248) 209-7861,"г. Колпашево, ул. Базарная, д. 00, 421650",F,220084602452,seliverst76,"['https://npo.ru/', 'https://rao.com/', 'https://www.gorbacheva.biz/', 'http://npo.biz/']"
